24;-51;-4
-62;-56;-23
-69;-70;-14
-113;-81;-55
-128;-24;-83
-148;-22;-127
-126;3;-165
-82;-8;-186
-67;14;-209
-78;3;-208
-59;-16;-189
-12;7;-199
-29;33;-176
-24;32;-134
15;84;-115
20;138;-73
4;121;-20
29;150;42
1;143;88
-8;119;139
1;92;194
-32;54;241
-83;19;287
-123;6;315
-114;-6;336
-127;19;339
-148;61;353
-145;83;374
-77;147;396
-107;195;434
-130;235;472
-58;286;466
-66;300;505
-146;330;542
-86;334;504
-74;273;518
-75;284;514
-56;223;486
-79;158;483
-68;130;436
-31;55;405
-71;16;357
-53;13;311
-51;-29;230
-80;-52;145
-23;-44;34
-32;-74;-51
-54;-64;-174
14;-73;-288
48;-100;-381
29;-131;-496
87;-138;-594
77;-187;-675
78;-198;-745
117;-239;-776
75;-235;-805
54;-248;-839
58;-266;-846
58;-242;-849
68;-242;-834
105;-243;-828
49;-236;-817
98;-211;-775
509;-58;-720
-67;-90;-763
154;-244;-581
477;-210;-584
152;7;-435
-51;-5;-275
139;-278;-212
199;-179;-57
-183;-45;16
-190;-212;150
34;-251;196
-87;-135;195
-214;-88;277
-17;-73;345
129;64;325
-39;127;343
58;170;468
33;187;371
-19;158;372
-61;115;351
-64;70;246
-64;75;186
-7;5;148
46;0;123
64;67;113
99;134;125
118;163;97
22;198;92
-43;193;24
-66;92;40
-31;94;8
51;28;42
0;63;85
11;40;31
-128;43;31
-232;8;-106
-244;-52;-68
-145;-28;-167
-16;-59;-102
-59;59;-179
-133;-60;-149
-127;-56;-274
-164;-126;-209
-109;-44;-315
113;-28;-200
131;242;-313
-35;136;-158
-89;129;-256
-98;102;-44
-85;35;-168
34;214;45
121;172;-193
-30;51;100
-222;-89;28
-56;-83;161
-96;-64;175
257;90;117
-129;93;233
-107;-194;194
-126;19;394
-19;-134;187
231;308;320
-75;127;223
36;-69;268
-238;145;375
177;-26;178
265;425;217
-73;174;211
98;-32;163
-298;128;248
11;-126;113
294;289;32
-193;94;43
-159;-293;41
-291;14;47
-162;-120;-67
269;49;-170
-148;10;-95
-343;-335;-61
-127;-104;-72
-29;177;-107
277;-109;-261
76;-56;-130
-368;-60;-39
79;-227;-190
391;373;-104
2;66;-215
116;-408;-28
-117;67;54
-98;-176;-94
563;-123;-61
-67;-14;24
-273;-378;88
62;-294;112
-103;323;121
214;-69;-27
133;-102;197
-425;171;259
62;-145;144
371;421;164
-104;306;93
151;-379;294
22;81;302
-106;189;188
569;-249;85
112;-24;242
-360;-162;324
17;-348;187
102;411;91
-58;54;-3
133;-563;229
-299;72;135
-233;83;-106
656;-275;-176
6;0;-46
-427;-243;-29
26;-286;-126
63;515;-159
3;67;-326
215;-263;-112
-398;313;-106
-60;123;-340
632;-17;-406
-162;242;-230
-483;-253;-208
-46;-212;-361
-130;512;-415
-129;0;-562
78;-388;-294
-619;141;-329
453;118;-462
-53;5;-656
119;129;-285
-325;-686;-320
158;-62;-413
-402;609;-289
-62;-172;-288
-524;-327;-246
-801;676;-81
-386;175;-154
53;-19;-167
-396;345;-26
-238;-91;111
111;-143;134
-31;232;184
343;-21;13
299;-116;305
-16;-361;425
601;-327;239
127;354;345
103;93;376
445;-520;481
45;32;604
102;-71;497
221;178;355
104;236;499
180;-433;432
130;-68;495
-330;410;445
224;-16;239
30;-48;365
-556;254;441
-163;56;199
-20;138;258
-320;319;144
-178;-199;138
-423;113;248
-87;154;128
131;30;-8
-67;239;117
-111;-188;84
26;11;73
0;293;107
264;-32;-122
172;10;31
-174;-151;78
197;-161;-57
221;196;7
135;19;-164
171;-218;-56
-81;-132;127
-38;-135;-114
249;134;-31
74;45;-68
-167;-190;-32
-168;-81;101
42;-80;-147
23;104;-63
0;85;-95
-134;-103;-122
-325;20;-49
170;-49;-205
47;227;-108
-41;113;-194
-42;-16;-205
-154;4;-60
79;-134;-193
-55;311;-165
146;-52;-198
-134;-6;-158
-265;-56;-121
135;-90;-101
-156;131;-17
86;-32;-219
-68;11;-36
-240;-225;-46
-56;-8;-64
-1;-53;11
148;-19;-189
-126;39;-126
41;-308;-140
-48;106;-116
195;-107;-180
271;112;-273
139;164;-405
255;-102;-349
-86;11;-324
386;-123;-445
181;106;-291
2;-184;-447
-47;-140;-269
-241;-361;-192
-61;-244;-173
-300;-123;-84
1;-194;-208
-144;-68;93
-252;-302;117
-82;131;158
129;-34;231
300;166;96
93;290;168
69;-82;124
111;163;169
162;-101;56
85;213;-31
-59;23;-51
-257;-230;-112
-366;-34;-70
-154;-256;-167
-296;98;-225
-209;-68;-312
-234;-204;-245
-98;14;17
-634;273;-522
105;146;12
294;114;-467
-98;197;-223
-358;234;-51
-9;258;-288
-146;171;-100
-130;117;-275
-15;-10;-144
-226;-28;-155
-79;105;-49
332;-74;-184
485;289;-385
257;241;-279
481;-208;-309
360;196;-287
361;172;-339
540;112;-304
77;82;-304
11;-221;-219
-153;66;-74
-125;-108;-106
-23;49;-62
-340;29;138
-358;-231;192
-470;41;425
-313;36;422
-221;-15;393
-589;100;556
-572;-450;700
-562;47;665
-257;-27;750
-106;-70;512
-69;-46;639
-255;-259;511
39;-16;603
575;-404;407
-206;91;367
703;528;34
-27;-532;159
275;-394;-64
279;-462;165
141;739;-639
47;-182;-174
-306;-626;-296
34;68;-795
-590;404;-372
134;-272;-740
189;-190;-746
-195;224;-611
-137;-171;-630
403;127;-574
579;18;-689
263;8;-445
169;5;-152
342;83;-426
582;188;-191
185;121;-156
224;-346;-60
42;152;295
139;71;-58
651;-240;33
282;53;212
-88;-297;289
132;-68;355
372;606;220
20;43;301
418;-533;590
-361;157;825
